1.0   0.73   0.59   0.02   0.51   0.05   -0.19   -0.24   0.5   -0.58   -0.61   -0.0   -0.38   -0.02   -0.66   0.02   -0.7   0.0   0.02   -0.47   
0.73   1.0   0.57   -0.04   0.38   0.0   -0.25   -0.3   0.49   -0.62   -0.58   0.02   -0.39   -0.1   -0.62   0.01   -0.69   -0.02   -0.05   -0.42   
0.59   0.57   1.0   -0.37   0.17   -0.07   -0.57   -0.5   0.76   -0.55   -0.78   0.0   -0.58   0.1   -0.72   -0.0   -0.47   -0.01   -0.31   -0.51   
0.02   -0.04   -0.37   1.0   0.45   0.24   0.66   0.48   -0.51   0.36   0.37   -0.02   0.35   0.08   0.3   0.03   0.04   0.02   0.62   0.12   
0.51   0.38   0.17   0.45   1.0   0.23   0.39   0.25   -0.0   0.1   -0.25   0.02   -0.04   0.34   -0.25   -0.0   -0.25   0.0   0.58   -0.35   
0.05   0.0   -0.07   0.24   0.23   1.0   0.26   0.15   -0.18   0.14   0.09   -0.04   0.14   0.03   0.09   -0.02   -0.04   0.02   0.27   0.03   
-0.19   -0.25   -0.57   0.66   0.39   0.26   1.0   0.6   -0.7   0.55   0.57   0.01   0.51   0.07   0.5   0.0   0.22   0.02   0.67   0.25   
-0.24   -0.3   -0.5   0.48   0.25   0.15   0.6   1.0   -0.57   0.52   0.47   -0.07   0.39   0.15   0.44   -0.0   0.31   0.03   0.53   0.23   
0.5   0.49   0.76   -0.51   -0.0   -0.18   -0.7   -0.57   1.0   -0.57   -0.79   -0.01   -0.64   0.09   -0.7   -0.0   -0.4   -0.0   -0.49   -0.46   
-0.58   -0.62   -0.55   0.36   0.1   0.14   0.55   0.52   -0.57   1.0   0.49   0.02   0.43   0.42   0.61   -0.0   0.72   -0.01   0.46   0.24   
-0.61   -0.58   -0.78   0.37   -0.25   0.09   0.57   0.47   -0.79   0.49   1.0   0.0   0.62   -0.22   0.74   -0.01   0.42   -0.01   0.27   0.59   
-0.0   0.02   0.0   -0.02   0.02   -0.04   0.01   -0.07   -0.01   0.02   0.0   1.0   0.02   -0.03   0.02   0.01   0.01   0.02   0.02   -0.02   
-0.38   -0.39   -0.58   0.35   -0.04   0.14   0.51   0.39   -0.64   0.43   0.62   0.02   1.0   -0.12   0.57   0.01   0.29   -0.01   0.33   0.37   
-0.02   -0.1   0.1   0.08   0.34   0.03   0.07   0.15   0.09   0.42   -0.22   -0.03   -0.12   1.0   -0.06   -0.01   0.33   0.02   0.21   -0.22   
-0.66   -0.62   -0.72   0.3   -0.25   0.09   0.5   0.44   -0.7   0.61   0.74   0.02   0.57   -0.06   1.0   -0.02   0.57   -0.0   0.25   0.49   
0.02   0.01   -0.0   0.03   -0.0   -0.02   0.0   -0.0   -0.0   -0.0   -0.01   0.01   0.01   -0.01   -0.02   1.0   -0.01   0.01   0.02   -0.03   
-0.7   -0.69   -0.47   0.04   -0.25   -0.04   0.22   0.31   -0.4   0.72   0.42   0.01   0.29   0.33   0.57   -0.01   1.0   -0.01   0.11   0.29   
0.0   -0.02   -0.01   0.02   0.0   0.02   0.02   0.03   -0.0   -0.01   -0.01   0.02   -0.01   0.02   -0.0   0.01   -0.01   1.0   0.02   -0.03   
0.02   -0.05   -0.31   0.62   0.58   0.27   0.67   0.53   -0.49   0.46   0.27   0.02   0.33   0.21   0.25   0.02   0.11   0.02   1.0   0.02   
-0.47   -0.42   -0.51   0.12   -0.35   0.03   0.25   0.23   -0.46   0.24   0.59   -0.02   0.37   -0.22   0.49   -0.03   0.29   -0.03   0.02   1.0   
